iShares Core S&P/TSX Capped Composite Index ETF,,,,,,,,,,,,,,,
Fund Holdings as of,31-Dec-20,,,,,,,,,,,,,,
Inception Date,16-Feb-01,,,,,,,,,,,,,,
Total Net Assets ($000s),"7,280,173,716.62",,,,,,,,,,,,,,
Shares Outstanding,"263,000,000.00",,,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Sector,Ticker,Name,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,CUSIP,Exchange,Location of Risk,Currency,Market Currency,FX Rate
Information Technology,SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,6.39,"1,437.32","323,620.00","465,145,498.40","465,145,498.40",Information Technology,BX865C7,82509L107,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,RY,ROYAL BANK OF CANADA,6.01,104.59,"4,186,082.00","437,822,316.38","437,822,316.38",Financials,2754383,780087102,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,TD,TORONTO DOMINION,5.27,71.92,"5,339,473.00","384,014,898.16","384,014,898.16",Financials,2897222,891160509,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,CNR,CANADIAN NATIONAL RAILWAY,4.02,139.94,"2,092,006.00","292,755,319.64","292,755,319.64",Industrials,2180632,136375102,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,BNS,BANK OF NOVA SCOTIA,3.37,68.8,"3,561,513.00","245,032,094.40","245,032,094.40",Financials,2076281,64149107,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,ENB,ENBRIDGE INC,3.33,40.71,"5,953,699.00","242,375,086.29","242,375,086.29",Energy,2466149,29250N105,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,BAM.A,BROOKFIELD ASSET MANAGEMENT INC CL,2.98,52.62,"4,121,128.00","216,853,755.36","216,853,755.36",Financials,2092599,112585104,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,BMO,BANK OF MONTREAL,2.53,96.78,"1,900,797.00","183,959,133.66","183,959,133.66",Financials,2076009,63671101,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,CP,CANADIAN PACIFIC RAILWAY LTD,2.39,441.53,"394,889.00","174,355,340.17","174,355,340.17",Industrials,2793115,13645T100,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,ABX,BARRICK GOLD CORP,2.08,29,"5,227,147.00","151,587,263.00","151,587,263.00",Materials,2024644,67901108,Toronto Stock Exchange,Canada,CAD,CAD,1
Communication,BCE,BCE INC,1.99,54.43,"2,658,723.00","144,714,292.89","144,714,292.89",Communication,B188TH2,05534B760,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,TRP,TC ENERGY CORP,1.96,51.75,"2,763,222.00","142,996,738.50","142,996,738.50",Energy,BJMY6G0,87807B107,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,CM,CANADIAN IMPERIAL BANK OF COMMERCE,1.96,108.72,"1,313,984.00","142,856,340.48","142,856,340.48",Financials,2170525,136069101,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,MFC,MANULIFE FINANCIAL CORP,1.77,22.65,"5,703,033.00","129,173,697.45","129,173,697.45",Financials,2492519,56501R106,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Staples,ATD.B,ALIMENTATION COUCHE TARD SUB VOTIN,1.51,43.38,"2,525,887.00","109,572,978.06","109,572,978.06",Consumer Staples,2011646,01626P403,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,CNQ,CANADIAN NATURAL RESOURCES LTD,1.46,30.59,"3,472,207.00","106,214,812.13","106,214,812.13",Energy,2171573,136385101,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,NTR,NUTRIEN LTD,1.41,61.24,"1,673,283.00","102,471,850.92","102,471,850.92",Materials,BDRJLN0,67077M108,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,WCN,WASTE CONNECTIONS INC,1.39,130.52,"772,907.00","100,879,821.64","100,879,821.64",Industrials,BYQFRK5,94106B101,Toronto Stock Exchange,United States,CAD,CAD,1
Financials,SLF,SUN LIFE FINANCIAL INC,1.34,56.6,"1,719,565.00","97,327,379.00","97,327,379.00",Financials,2566124,866796105,Toronto Stock Exchange,Canada,CAD,CAD,1
Information Technology,CSU,CONSTELLATION SOFTWARE INC,1.33,"1,652.92","58,603.00","96,866,070.76","96,866,070.76",Information Technology,B15C4L6,21037X100,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,SU,SUNCOR ENERGY INC,1.31,21.35,"4,483,900.00","95,731,265.00","95,731,265.00",Energy,B3NB1P2,867224107,Toronto Stock Exchange,Canada,CAD,CAD,1
Communication,T,TELUS CORP,1.31,25.21,"3,793,812.00","95,642,000.52","95,642,000.52",Communication,2381093,87971M103,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,FNV,FRANCO NEVADA CORP,1.23,159.6,"561,079.00","89,548,208.40","89,548,208.40",Materials,B29NF31,351858105,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Discretionary,MG,MAGNA INTERNATIONAL INC,0.99,90.11,"800,693.00","72,150,446.23","72,150,446.23",Consumer Discretionary,2554475,559222401,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,FTS,FORTIS INC,0.98,52,"1,367,193.00","71,094,036.00","71,094,036.00",Utilities,2347200,349553107,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,NA,NATIONAL BANK OF CANADA,0.97,71.64,"987,739.00","70,761,621.96","70,761,621.96",Financials,2077303,633067103,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,WPM,WHEATON PRECIOUS METALS CORP,0.96,53.16,"1,319,922.00","70,167,053.52","70,167,053.52",Materials,BF13KN5,962879102,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Discretionary,QSR,RESTAURANTS BRANDS INTERNATIONAL I,0.96,77.83,"894,902.00","69,650,222.66","69,650,222.66",Consumer Discretionary,BTF8CF0,76131D103,Toronto Stock Exchange,Canada,CAD,CAD,1
Information Technology,GIB.A,CGI INC,0.93,100.99,"672,846.00","67,950,717.54","67,950,717.54",Information Technology,BJ2L575,12532H104,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,AEM,AGNICO EAGLE MINES LTD,0.88,89.59,"714,167.00","63,982,221.53","63,982,221.53",Materials,2009823,8474108,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,IFC,INTACT FINANCIAL CORP,0.87,150.72,"420,520.00","63,380,774.40","63,380,774.40",Financials,B04YJV1,45823T106,Toronto Stock Exchange,Canada,CAD,CAD,1
Communication,RCI.B,ROGERS COMMUNICATIONS NON-VOTING I,0.84,59.26,"1,030,355.00","61,058,837.30","61,058,837.30",Communication,2169051,775109200,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,BIP.UN,BROOKFIELD INFRASTRUCTURE PARTNERS,0.75,62.98,"868,360.00","54,689,312.80","54,689,312.80",Utilities,B2NR6V4,-,Toronto Stock Exchange,Bermuda,CAD,CAD,1
Industrials,TRI,THOMSON REUTERS CORP,0.71,104.18,"496,812.00","51,757,874.16","51,757,874.16",Industrials,BFXPTB0,884903709,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,POW,POWER CORPORATION OF CANADA,0.67,29.23,"1,680,709.00","49,127,124.07","49,127,124.07",Financials,2697701,739239101,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,PPL,PEMBINA PIPELINE CORP,0.67,30.1,"1,616,830.00","48,666,583.00","48,666,583.00",Energy,B4PT2P8,706327103,Toronto Stock Exchange,Canada,CAD,CAD,1
Information Technology,OTEX,OPEN TEXT CORP,0.64,57.84,"800,832.00","46,320,122.88","46,320,122.88",Information Technology,2260824,683715106,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Discretionary,DOL,DOLLARAMA INC,0.61,51.88,"850,813.00","44,140,178.44","44,140,178.44",Consumer Discretionary,B4TP9G2,25675T107,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,KL,KIRKLAND LAKE GOLD LTD,0.58,52.6,"808,605.00","42,532,623.00","42,532,623.00",Materials,BD4G349,4.97E+104,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Staples,MRU,METRO INC,0.57,56.8,"736,202.00","41,816,273.60","41,816,273.60",Consumer Staples,2583952,59162N109,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,EMA,EMERA INC,0.55,54.1,"738,050.00","39,928,505.00","39,928,505.00",Utilities,2650050,290876101,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,FM,FIRST QUANTUM MINERALS LTD,0.51,22.85,"1,621,438.00","37,049,858.30","37,049,858.30",Materials,2347608,335934105,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,AQN,ALGONQUIN POWER UTILITIES CORP,0.5,20.95,"1,750,251.00","36,667,758.45","36,667,758.45",Utilities,B51BMR7,15857105,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,FFH,FAIRFAX FINANCIAL HOLDINGS SUB VOT,0.48,433.85,"79,819.00","34,629,473.15","34,629,473.15",Financials,2566351,303901102,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,K,KINROSS GOLD CORP,0.47,9.34,"3,699,296.00","34,551,424.64","34,551,424.64",Materials,B03Z841,496902404,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,BEP.UN,BROOKFIELD RENEWABLE PARTNERS NON,0.46,54.95,"605,564.00","33,275,741.80","33,275,741.80",Utilities,B712JY0,-,Toronto Stock Exchange,Bermuda,CAD,CAD,1
Materials,TECK.B,TECK RESOURCES SUBORDINATE VOTING,0.43,23.1,"1,369,122.00","31,626,718.20","31,626,718.20",Materials,2879327,878742204,Toronto Stock Exchange,Canada,CAD,CAD,1
Communication,SJR.B,SHAW COMMUNICATIONS INC CLASS B,0.42,22.34,"1,355,934.00","30,291,565.56","30,291,565.56",Communication,2801836,82028K200,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Staples,L,LOBLAW COMPANIES LTD,0.41,62.81,"477,238.00","29,975,318.78","29,975,318.78",Consumer Staples,2521800,539481101,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,CAE,CAE INC,0.4,35.27,"815,446.00","28,760,780.42","28,760,780.42",Industrials,2162760,124765108,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,RBA,RITCHIE BROS AUCTIONEERS INC,0.39,88.48,"321,670.00","28,461,361.60","28,461,361.60",Industrials,2345390,767744105,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Discretionary,CTC.A,CANADIAN TIRE LTD CLASS A,0.39,167.33,"168,726.00","28,232,921.58","28,232,921.58",Consumer Discretionary,2172286,136681202,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,PAAS,PAN AMERICAN SILVER CORP,0.37,43.9,"617,911.00","27,126,292.90","27,126,292.90",Materials,2669272,697900108,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,H,HYDRO ONE LTD,0.35,28.65,"895,978.00","25,669,769.70","25,669,769.70",Utilities,BYYXJY9,448811208,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,WSP,WSP GLOBAL INC,0.35,120.59,"210,328.00","25,363,453.52","25,363,453.52",Industrials,BHR3R21,92938W202,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,CCL.B,CCL INDUSTRIES INC CLASS B,0.35,57.79,"436,616.00","25,232,038.64","25,232,038.64",Materials,2159795,124900309,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,CAR.UN,CANADIAN APARTMENT PROPERTIES REAL,0.35,49.99,"503,314.00","25,160,666.86","25,160,666.86",Real Estate,2117599,134921105,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Staples,SAP,SAPUTO INC,0.34,35.63,"699,421.00","24,920,370.23","24,920,370.23",Consumer Staples,2112226,802912105,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,NPI,NORTHLAND POWER INC,0.33,45.67,"527,927.00","24,110,426.09","24,110,426.09",Utilities,B68XHC3,666511100,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,GWO,GREAT WEST LIFECO INC,0.33,30.35,"790,955.00","24,005,484.25","24,005,484.25",Financials,2384951,39138C106,Toronto Stock Exchange,Canada,CAD,CAD,1
Health Care,BHC,BAUSCH HEALTH COMPANIES INC,0.33,26.41,"908,177.00","23,984,954.57","23,984,954.57",Health Care,BFFY852,71734107,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,CVE,CENOVUS ENERGY INC,0.32,7.75,"2,998,304.00","23,236,856.00","23,236,856.00",Energy,B57FG04,15135U109,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,AC,AIR CANADA VOTING AND VARIABLE VOT,0.31,22.77,"976,461.00","22,234,016.97","22,234,016.97",Industrials,BSDHYK1,8911877,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,BTO,B2GOLD CORP,0.3,7.13,"3,086,867.00","22,009,361.71","22,009,361.71",Materials,B29VFC4,11777Q209,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,TIH,TOROMONT INDUSTRIES LTD,0.3,89.2,"241,885.00","21,576,142.00","21,576,142.00",Industrials,2897103,891102105,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,LUN,LUNDIN MINING CORP,0.29,11.3,"1,877,948.00","21,220,812.40","21,220,812.40",Materials,2866857,550372106,Toronto Stock Exchange,Canada,CAD,CAD,1
Health Care,WEED,CANOPY GROWTH CORP,0.29,31.32,"667,616.00","20,909,733.12","20,909,733.12",Health Care,BYTN3W0,138035100,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Discretionary,GIL,GILDAN ACTIVEWEAR INC,0.29,35.59,"583,171.00","20,755,055.89","20,755,055.89",Consumer Discretionary,2254645,375916103,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,YRI,YAMANA GOLD INC,0.28,7.27,"2,800,779.00","20,361,663.33","20,361,663.33",Materials,2219279,98462Y100,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,CCO,CAMECO CORP,0.27,17.05,"1,163,683.00","19,840,795.15","19,840,795.15",Energy,2166160,13321L108,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,BLDP,BALLARD POWER SYSTEMS INC,0.27,29.78,"666,094.00","19,836,279.32","19,836,279.32",Industrials,2072717,58586108,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Staples,WN,GEORGE WESTON LTD,0.27,95.08,"207,823.00","19,759,810.84","19,759,810.84",Consumer Staples,2956662,961148509,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,X,TMX GROUP LTD,0.26,127.14,"149,954.00","19,065,151.56","19,065,151.56",Financials,B8KH5G7,87262K105,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,FSV,FIRSTSERVICE SUBORDINATE VOTING CO,0.26,174.22,"108,936.00","18,978,829.92","18,978,829.92",Real Estate,BJMKSJ5,3.38E+206,Toronto Stock Exchange,Canada,CAD,CAD,1
Information Technology,DSG,DESCARTES SYSTEMS GROUP INC,0.25,74.45,"248,403.00","18,493,603.35","18,493,603.35",Information Technology,2141941,249906108,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,PKI,PARKLAND CORP,0.24,40.39,"440,210.00","17,780,081.90","17,780,081.90",Energy,BLFHPV8,70137W108,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Staples,EMP.A,EMPIRE LTD CLASS A,0.24,34.79,"503,057.00","17,501,353.03","17,501,353.03",Consumer Staples,2314000,291843407,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,IAG,IA FINANCIAL INC,0.24,55.18,"314,679.00","17,363,987.22","17,363,987.22",Financials,BJ2ZH37,4.51E+108,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,EFN,ELEMENT FLEET MANAGEMENT CORP,0.24,13.38,"1,296,836.00","17,351,665.68","17,351,665.68",Financials,B7FNMQ2,286181201,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,BPY.UN,BROOKFIELD PROPERTY PARTNERS UNITS,0.24,18.41,"942,338.00","17,348,442.58","17,348,442.58",Real Estate,B96G8X3,-,Toronto Stock Exchange,Canada,CAD,CAD,1
Information Technology,LSPD,LIGHTSPEED POS SUBORDINATE VOTING,0.24,89.84,"190,668.00","17,129,613.12","17,129,613.12",Information Technology,BGHVW01,53227R106,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,TFII,TFI INTERNATIONAL INC,0.23,65.53,"260,787.00","17,089,372.11","17,089,372.11",Industrials,BDRXBF4,87241L109,Toronto Stock Exchange,Canada,CAD,CAD,1
Communication,QBR.B,QUEBECOR INC CLASS B,0.23,32.76,"507,093.00","16,612,366.68","16,612,366.68",Communication,2715777,748193208,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,ONEX,ONEX CORP,0.23,73.06,"226,040.00","16,514,482.40","16,514,482.40",Financials,2659518,68272K103,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,SSRM,SSR MINING INC,0.23,25.56,"643,976.00","16,460,026.56","16,460,026.56",Materials,BF7MPL9,784730103,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,IMO,IMPERIAL OIL LTD,0.21,24.16,"646,967.00","15,630,722.72","15,630,722.72",Energy,2454241,453038408,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,REI.UN,RIOCAN REAL ESTATE INVESTMENT TRUS,0.21,16.75,"932,661.00","15,622,071.75","15,622,071.75",Real Estate,2229610,766910103,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,ALA,ALTAGAS LTD,0.21,18.72,"821,604.00","15,380,426.88","15,380,426.88",Utilities,B43WJC5,21361100,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,IPL,INTER PIPELINE LTD,0.21,11.87,"1,261,919.00","14,978,978.53","14,978,978.53",Energy,BDD54N3,45833V109,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,KEY,KEYERA CORP,0.2,22.62,"648,767.00","14,675,109.54","14,675,109.54",Energy,B3SGMV5,493271100,Toronto Stock Exchange,Canada,CAD,CAD,1
Information Technology,KXS,KINAXIS INC,0.2,180.34,"79,441.00","14,326,389.94","14,326,389.94",Information Technology,BN85P68,49448Q109,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,AP.UN,ALLIED PROPERTIES REAL ESTATE INVT,0.19,37.83,"374,160.00","14,154,472.80","14,154,472.80",Real Estate,2387701,19456102,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,GRT.UN,GRANITE REAL ESTATE INVESTMENT STA,0.19,77.9,"181,381.00","14,129,579.90","14,129,579.90",Real Estate,B9GS088,387437114,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,BYD,BOYD GROUP INCOME INC,0.19,219.56,"63,127.00","13,860,164.12","13,860,164.12",Industrials,BKPNC96,103310108,Toronto Stock Exchange,Canada,CAD,CAD,1
Cash and/or Derivatives,CAD,CAD CASH,0.19,100,"13,633,845.00","13,633,845.38","13,633,845.38",Cash and/or Derivatives,-,-,-,Canada,CAD,CAD,1
Industrials,STN,STANTEC INC,0.19,41.28,"329,623.00","13,606,837.44","13,606,837.44",Industrials,2854238,85472N109,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,GFL,GFL ENVIRONMENTAL SUBORDINATE VOTI,0.18,37.11,"361,226.00","13,405,096.86","13,405,096.86",Industrials,BKDT649,36168Q104,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,FTT,FINNING INTERNATIONAL INC,0.18,27.03,"476,063.00","12,867,982.89","12,867,982.89",Industrials,2339177,318071404,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,AGI,ALAMOS GOLD INC CLASS A,0.18,11.12,"1,153,758.00","12,829,788.96","12,829,788.96",Materials,BZ3DNP6,11532108,Toronto Stock Exchange,Canada,CAD,CAD,1
Information Technology,BB,BLACKBERRY LTD,0.18,8.44,"1,511,594.00","12,757,853.36","12,757,853.36",Information Technology,BCBHZ31,09228F103,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,TOU,TOURMALINE OIL CORP,0.17,17.16,"738,265.00","12,668,627.40","12,668,627.40",Energy,B3QJ0H8,89156V106,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,WFT,WEST FRASER TIMBER LTD,0.16,81.78,"144,110.00","11,785,315.80","11,785,315.80",Materials,2951098,952845105,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,BLX,BORALEX INC CLASS A,0.16,47.24,"244,661.00","11,557,785.64","11,557,785.64",Utilities,2099084,09950M300,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,SNC,SNC LAVALIN INC,0.15,21.73,"517,755.00","11,250,816.15","11,250,816.15",Industrials,2763884,78460T105,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,HR.UN,HANDR REAL ESTATE INVESTMENT TRUST,0.15,13.29,"845,811.00","11,240,828.19","11,240,828.19",Real Estate,BGM8DW6,403925407,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,IVN,IVANHOE MINES LTD CLASS A,0.15,6.86,"1,628,047.00","11,168,402.42","11,168,402.42",Materials,BD73C40,46579R104,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,CU,CANADIAN UTILITIES LTD CLASS A,0.15,31.09,"352,444.00","10,957,483.96","10,957,483.96",Utilities,2172639,136717832,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,CPX,CAPITAL POWER CORP,0.15,34.98,"311,922.00","10,911,031.56","10,911,031.56",Utilities,B61KF83,14042M102,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Discretionary,DOO,BRP SUBORDINATE VOTING INC,0.15,84.09,"129,346.00","10,876,705.14","10,876,705.14",Consumer Discretionary,B9B3FG1,05577W200,Toronto Stock Exchange,Canada,CAD,CAD,1
